exch_epoch,bid_1_price,bid_2_price,bid_3_price,bid_4_price,bid_5_price,bid_6_price,bid_7_price,bid_8_price,bid_9_price,bid_10_price,ask_1_price,ask_2_price,ask_3_price,ask_4_price,ask_5_price,ask_6_price,ask_7_price,ask_8_price,ask_9_price,ask_10_price,bid_1_qty,bid_2_qty,bid_3_qty,bid_4_qty,bid_5_qty,bid_6_qty,bid_7_qty,bid_8_qty,bid_9_qty,bid_10_qty,ask_1_qty,ask_2_qty,ask_3_qty,ask_4_qty,ask_5_qty,ask_6_qty,ask_7_qty,ask_8_qty,ask_9_qty,ask_10_qty
1698822300897194000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,277,85,245,85,158,157,160,472,198,157,25730,328,75,80,157,162,597,157,498,357
1698822300897313000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,277,85,245,85,158,157,160,472,198,157,25730,128,275,80,157,162,597,157,498,357
1698822300900873000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,277,85,245,185,158,157,160,372,198,157,25730,128,275,80,157,162,597,157,498,357
1698822300963618000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,277,85,245,185,158,157,160,372,198,157,25721,128,275,80,157,162,597,157,498,357
1698822300964224000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,312,50,245,185,158,157,160,372,198,157,25721,90,275,118,157,162,597,157,498,357
1698822300968609000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,312,150,245,85,158,157,160,372,198,157,25721,90,275,118,157,162,597,157,498,357
1698822300983552000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,312,150,97,85,158,305,160,372,198,157,25721,90,275,118,157,162,597,157,498,357
1698822301033089000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,312,150,97,85,306,157,160,372,198,157,25721,90,275,118,157,162,597,157,498,357
1698822301061524000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,312,150,97,233,158,157,160,372,198,157,25721,90,275,118,157,162,597,157,498,357
1698822301142321000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,35,150,97,233,158,157,160,372,198,157,25721,90,275,118,157,162,597,157,498,357
1698822301142535000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,35,150,15,233,158,157,160,372,198,157,25721,90,275,118,157,162,597,157,498,357
1698822301142733000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,150,50,233,158,157,160,372,198,157,358,25721,90,275,118,157,162,597,157,498,357
1698822301143484000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,150,50,233,158,157,160,372,198,493,358,25721,90,275,118,157,162,597,157,498,357
1698822301143824000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,150,132,233,158,157,160,372,198,493,358,25721,90,275,118,157,162,597,157,498,357
1698822301147027000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,62,150,132,233,158,157,160,372,198,493,25721,90,275,118,157,162,597,157,498,357
1698822301158410000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,62,150,132,233,158,157,160,372,198,493,25722,90,275,118,157,162,597,157,498,357
1698822301178404000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,62,150,133,233,158,157,160,372,198,493,25722,90,275,118,157,162,597,157,498,357
1698822301365848000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,62,150,133,233,158,157,160,372,198,493,25672,90,275,118,157,162,597,157,498,357
1698822301411413000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26849,26850,26853,26854,26855,26856,26857,26858,26859,26860,150,133,233,158,157,160,372,198,493,358,88,25672,90,275,118,157,162,597,157,498
1698822301411856000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26849,26850,26852,26853,26854,26855,26856,26857,26858,26859,150,133,233,158,157,160,372,198,157,358,88,25672,38,90,275,80,157,162,597,157
1698822301412416000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26849,26850,26852,26853,26854,26855,26856,26857,26858,26859,150,51,233,158,157,160,372,198,157,358,88,25672,38,90,275,80,157,162,597,157
1698822301414627000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26849,26850,26852,26853,26854,26855,26856,26857,26858,26859,50,51,233,158,257,160,372,198,157,358,88,25672,38,90,275,80,157,162,597,157
1698822301453949000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26849,26850,26852,26853,26854,26855,26856,26857,26858,26859,50,199,85,158,257,160,372,198,157,358,88,25672,38,90,275,80,157,162,597,157
1698822301455339000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26849,26850,26852,26853,26854,26855,26856,26857,26858,26859,50,164,120,158,257,160,372,198,157,358,88,25672,38,90,275,80,157,162,597,157
1698822301754221000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26850,26852,26853,26854,26855,26856,26857,26858,26859,26860,50,164,120,158,257,160,372,198,157,358,25672,38,90,275,80,157,162,597,157,498
1698822301754913000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26850,26852,26853,26854,26855,26856,26857,26858,26859,26860,50,164,120,158,257,160,372,198,493,358,25672,38,90,275,80,157,162,597,157,498
1698822301755292000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26850,26852,26853,26854,26855,26856,26857,26858,26859,26860,50,246,120,158,257,160,372,198,493,358,25672,38,90,275,80,157,162,597,157,498
1698822301755469000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,50,246,120,158,257,160,372,198,493,358,25672,90,313,80,157,162,597,157,498,357
1698822301756391000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,414,50,246,120,158,257,160,372,198,493,25672,90,313,80,157,162,597,157,498,357
1698822301756676000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,414,50,246,120,158,257,160,372,198,693,25672,90,313,80,157,162,597,157,498,357
1698822301756710000,26849,26848,26846,26845,26844,26843,26842,26841,26840,26839,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,414,50,281,85,158,257,160,372,198,693,25672,90,313,80,75,162,597,157,498,357
1698822301757096000,26849,26848,26847,26846,26845,26844,26843,26842,26841,26840,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,414,50,35,246,85,158,257,160,372,198,25672,90,313,80,75,162,597,157,498,357
